x 0 1 2 3 4 5 6
-17.449999999999964 2.37863881597624e-2 7.639724336446596e-14 4.627068783449091e-15 1.3936463356772495e-15 4.1975820975863624e-16 2.5525523022872154e-17 4.675162621329903e-19
-17.399999999999963 2.8937311089583896e-2 8.44676635700227e-14 5.113701855410304e-15 1.5402174002732002e-15 4.639045660487464e-16 2.821006571354895e-17 5.166853766368238e-19
-17.349999999999962 3.517301920698116e-2 9.339475072510612e-14 5.651514574317131e-15 1.7022034782960353e-15 5.126938351595821e-16 3.11769442236175e-17 5.710256520539934e-19
-17.29999999999996 4.270723491064504e-2 1.0327034891027456e-13 6.245889550625864e-15 1.8812257808599787e-15 5.666143164950367e-16 3.4455852070407925e-17 6.310809441252354e-19
-17.24999999999996 5.1788717364463596e-2 1.1419634846268326e-13 6.902775488876373e-15 2.079076023340587e-15 6.262056643556217e-16 3.807960566573175e-17 6.974523063989291e-19
-17.19999999999996 6.270354883298294e-2 1.2628582821755227e-13 7.628746724326465e-15 2.2977343574644026e-15 6.920642889800789e-16 4.208447275355576e-17 7.708040057768997e-19
-17.14999999999996 7.577567139303505e-2 1.3966433684722408e-13 8.431069021108642e-15 2.5393891893329138e-15 7.648493256194905e-16 4.651053538977718e-17 8.518701707208625e-19
-17.09999999999996 9.136449649621552e-2 1.5447133212618822e-13 9.317772290439842e-15 2.8064590817264134e-15 8.452892313844273e-16 5.140209109691038e-17 9.41462138656829e-19
-17.049999999999958 0.1098579806136491 1.7086179986038265e-13 1.0297730956672172e-14 3.1016169598933017e-15 9.341890758885807e-16 5.68080962085794e-17 1.040476576112795e-18
-16.999999999999957 0.13165908881835564 1.8900807764090845e-13 1.1380752775514485e-14 3.4278168630843064e-15 1.032438598656032e-15 6.278265584096593e-17 1.1499044528588102e-18
-16.949999999999957 0.15716313797435355 2.0910191261544726e-13 1.2577676993347713e-14 3.788323509570099e-15 1.1410211139334308e-15 6.938556539498831e-17 1.2708409598652751e-18
-16.899999999999956 0.18672328389847365 2.3135678723506905e-13 1.3900482830046162e-14 4.186744971039122e-15 1.2610233520295008e-15 7.668290900877559e-17 1.4044964703423953e-18
-16.849999999999955 0.2206016611183301 2.560105525746531e-13 1.53624093710369e-14 4.627068783391879e-15 1.3936463356772656e-15 8.474772094994061e-17 1.5522086535623031e-18
-16.799999999999955 0.25890478716942356 2.8332841551703264e-13 1.6978088068516335e-14 5.113701855340413e-15 1.5402174002732175e-15 9.366071656706546e-17 1.7154558627024541e-18
-16.749999999999954 0.30150427411428377 3.136063340462365e-13 1.8763689177941207e-14 5.6515145742317514e-15 1.7022034782960532e-15 1.0351110011604766e-16 1.8958719307011663e-18
-16.699999999999953 0.3479480603816861 3.47174884370565e-13 2.0737083595380765e-14 6.24588955052157e-15 1.8812257808599984e-15 1.143974575462736e-16 2.095262522206847e-18
-16.649999999999952 0.3973733573600701 3.8440367490283577e-13 2.291802171545203e-14 6.902775488748974e-15 2.0790760233406088e-15 1.2642874318193258e-16 2.3156232052767594e-18
-16.59999999999995 0.4484395937728782 4.257063956404669e-13 2.532833109990732e-14 7.628746724170838e-15 2.2977343574644247e-15 1.3972537017352795e-16 2.5591594236930478e-18
-16.54999999999995 0.4993059047236945 4.715466076701646e-13 2.7992134935208323e-14 8.431069020918542e-15 2.5393891893329362e-15 1.5442041563313888e-16 2.8283085697848554e-18
-16.49999999999995 0.5476798565291837 5.224443969269765e-13 3.093609346548511e-14 9.317772290207636e-15 2.806459081726438e-15 1.7066095251489576e-16 3.125764378670244e-18
-16.44999999999995 0.5909581573507658 5.789840396410424e-13 3.4189670817221685e-14 1.029773095638853e-14 3.1016169598933257e-15 1.8860952157055347e-16 3.4545038880631312e-18
-16.39999999999995 0.6264633259943986 6.418228549289205e-13 3.7785429886136964e-14 1.1380752775168014e-14 3.4278168630843313e-15 2.08445758111939e-16 3.8178172334667106e-18
-16.349999999999948 0.6517538518811762 7.1170145372875e-13 4.17593582375894e-14 1.2577676992924508e-14 3.788323509570125e-15 2.303681898615479e-16 4.21934057695553e-18
-16.299999999999947 0.6649563529224313 7.894556339546815e-13 4.6151228282228656e-14 1.3900482829529228e-14 4.186744971039146e-15 2.5459622388471425e-16 4.663092499107749e-18
-16.249999999999947 0.6650485592265942 8.760302208346215e-13 5.1004995331651615e-14 1.5362409370405484e-14 4.627068783391902e-15 2.8137234248925714e-16 5.153514218310402e-18
-16.199999999999946 0.6520232244989405 9.724952106966693e-13 5.636923751793513e-14 1.6978088067745072e-14 5.113701855340434e-15 3.109645300699504e-16 5.695514039966139e-18
-16.149999999999945 0.6268893109022765 1.0800646481759064e-12 6.22976419799094e-14 1.8763689176999153e-14 5.651514574231769e-15 3.436689551863724e-16 6.2945164804622615e-18
-16.099999999999945 0.5915101241523908 1.2001187535945614e-12 6.884954218209113e-14 2.0737083594230082e-14 6.245889550521579e-15 3.798129347174141e-16 6.956516557554535e-18
-16.049999999999944 0.548321536728734 1.3342299223783165e-12 7.609051174394358e-14 2.291802171404653e-14 6.902775488748975e-15 4.197582097586541e-16 7.688139790520945e-18
-15.999999999999943 0.4999999999999431 1.4841933457748092e-12 8.409302072270142e-14 2.5328331098190595e-14 7.628746724170834e-15 4.639045660487658e-16 8.496708510584144e-18
-15.949999999999942 0.44915166426815867 1.6520631566702069e-12 9.29371609180626e-14 2.799213493311144e-14 8.431069020918518e-15 5.126938351596041e-16 9.390315145263527e-18
-15.899999999999942 0.3980744675355291 1.840195191848089e-12 1.0271144745784527e-13 3.093609346292391e-14 9.317772290207592e-15 5.666143164950688e-16 1.0377903210110638e-17
-15.849999999999941 0.3486160685668028 2.051297689786373e-12 1.1351370468714597e-13 3.418967081409335e-14 1.0297730956388466e-14 6.262056643556484e-16 1.1469356818417958e-17
-15.79999999999994 0.30212396182243184 2.288491519805173e-12 1.254520452272698e-13 3.778542988231591e-14 1.1380752775167917e-14 6.920642889801084e-16 1.267559960474827e-17
